mark_id,student_id,class_name,gender,subject,test_name,date_taken,marks_obtained,total_marks,percentage,previous_subject_percentage,subject_average,overall_average,attendance_percentage,risk_label,class,current_score,attendance,overall_avg,subject_avg,instruction,guidance
,,,,History,,,,,,,,,,subject_weakness,8A,39.0,95.0,72.0,,"Class: 8A, Subject: History, Score: 39%, Attendance: 95%, Overall avg: 72%, Subject avg: 39%.",Strong overall student (72% average) but History is weak point (39%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated History tutor immediately 2) Daily History practice (minimum 45 minutes) 3) Group sessions focusing only on History 4) Weekly History-only assessments 5) Identify and fix conceptual gaps.
,,,,Biology,,,,,,,,,,sudden_drop,9B,55.0,80.0,,,"Class: 9B, Subject: Biology, Score: 55% (previous: 77%), Attendance: 80%, Overall avg: 70%, Subject avg: 66%.",Biology performance fell 22 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent Biology lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
,,,,Chemistry,,,,,,,,,,gradual_decline,8B,,65.0,,,"Class: 8B, Subject: Chemistry, Scores history: 80% → 72% → 65%. Attendance: 65%, Overall avg: 69%, Subject avg: 72%.",Chemistry scores declining steadily: 80% → 72% → 65%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,History,,,,,,,,,,no_risk,8A,85.0,90.0,93.0,,"Class: 8A, Subject: History, Score: 85%, Attendance: 90%, Overall avg: 93%.",✅ Excellent performance in History (85%). Keep up strong work! RECOMMENDATIONS: 1) Introduce advanced challenge problems 2) Expand to Olympic-level content 3) Peer tutoring for struggling classmates 4) Consider subject specialization for competitive exams.
,,,,Physics,,,,,,,,,,gradual_decline,8A,,69.0,,,"Class: 8A, Subject: Physics, Scores history: 78% → 66% → 59%. Attendance: 69%, Overall avg: 69%, Subject avg: 67%.",Gradual Physics decline detected: 78% → 66% → 59%. Pattern shows consistent downward trend across 3 tests. ACTION: 1) Root cause analysis (fatigue? difficult content?) 2) Stop decline immediately through targeted practice 3) Weekly mini-tests to track recovery 4) Adjust study methods if current approach failing.
,,,,Science,,,,,,,,,,gradual_decline,10B,,86.0,,,"Class: 10B, Subject: Science, Scores history: 86% → 78% → 73%. Attendance: 86%, Overall avg: 84%, Subject avg: 79%.",Gradual Science decline detected: 86% → 78% → 73%. Pattern shows consistent downward trend across 3 tests. ACTION: 1) Root cause analysis (fatigue? difficult content?) 2) Stop decline immediately through targeted practice 3) Weekly mini-tests to track recovery 4) Adjust study methods if current approach failing.
,,,,History,,,,,,,,,,no_risk,8A,86.0,80.0,94.0,,"Class: 8A, Subject: History, Score: 86%, Attendance: 80%, Overall avg: 94%.",✅ Excellent performance in History (86%). Keep up strong work! RECOMMENDATIONS: 1) Introduce advanced challenge problems 2) Expand to Olympic-level content 3) Peer tutoring for struggling classmates 4) Consider subject specialization for competitive exams.
,,,,English,,,,,,,,,,no_risk,9B,92.0,81.0,89.0,,"Class: 9B, Subject: English, Score: 92%, Attendance: 81%, Overall avg: 89%.",✅ English mastery shown (92% with 81% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in English 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,English,,,,,,,,,,subject_weakness,8B,54.0,94.0,80.0,,"Class: 8B, Subject: English, Score: 54%, Attendance: 94%, Overall avg: 80%, Subject avg: 54%.",Student excels generally (80% overall) but struggles in English (54% average). English seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified English materials 4) Bi-weekly progress tests 5) Peer mentoring in English.
,,,,Math,,,,,,,,,,gradual_decline,10B,,66.0,,,"Class: 10B, Subject: Math, Scores history: 76% → 70% → 60%. Attendance: 66%, Overall avg: 65%, Subject avg: 68%.",Gradual Math decline detected: 76% → 70% → 60%. Pattern shows consistent downward trend across 3 tests. ACTION: 1) Root cause analysis (fatigue? difficult content?) 2) Stop decline immediately through targeted practice 3) Weekly mini-tests to track recovery 4) Adjust study methods if current approach failing.
,,,,English,,,,,,,,,,sudden_drop,10B,60.0,62.0,,,"Class: 10B, Subject: English, Score: 60% (previous: 75%), Attendance: 62%, Overall avg: 63%, Subject avg: 67%.",English performance fell 15 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent English lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
,,,,Science,,,,,,,,,,gradual_decline,9B,,67.0,,,"Class: 9B, Subject: Science, Scores history: 89% → 81% → 76%. Attendance: 67%, Overall avg: 77%, Subject avg: 82%.","Science performance declining (89% → 81% → 76%). With 67% attendance, need to identify barriers. SOLUTION: 1) Review lecture notes missed (if attendance issue) 2) Intensive tutoring 3) Practice past papers 4) Check if personal/health issues affecting study."
,,,,Science,,,,,,,,,,no_risk,10A,81.0,90.0,82.0,,"Class: 10A, Subject: Science, Score: 81%, Attendance: 90%, Overall avg: 82%.",✅ Science mastery shown (81% with 90% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Science 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,Science,,,,,,,,,,no_risk,8A,89.0,87.0,84.0,,"Class: 8A, Subject: Science, Score: 89%, Attendance: 87%, Overall avg: 84%.",✅ Strong consistent Science performance (89%). Attendance excellent (87%). Continue current strategy! NEXT: 1) Advanced problem-solving practice 2) Subject competitions participation 3) Higher-order thinking activities 4) Consider this as strong subject for future focus.
,,,,Social Studies,,,,,,,,,,subject_weakness,10B,60.0,83.0,88.0,,"Class: 10B, Subject: Social Studies, Score: 60%, Attendance: 83%, Overall avg: 88%, Subject avg: 60%.",Clear strength-weakness pattern: 88% average overall but only 60% in Social Studies. Social Studies is holding back potential. CORRECTIVE MEASURES: 1) Immediate Social Studies tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
,,,,Science,,,,,,,,,,sudden_drop,8A,65.0,92.0,,,"Class: 8A, Subject: Science, Score: 65% (previous: 84%), Attendance: 92%, Overall avg: 74%, Subject avg: 74%.",Amit's Science dropped 19 points suddenly (84% → 65%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Science,,,,,,,,,,subject_weakness,8A,60.0,82.0,80.0,,"Class: 8A, Subject: Science, Score: 60%, Attendance: 82%, Overall avg: 80%, Subject avg: 60%.",Student performing well (80%) except Science (60% average). Need Science specialization. PLAN: 1) One-on-one Science coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for Science 5) Weekly check-ins to track Science improvement.
,,,,Biology,,,,,,,,,,no_risk,8B,93.0,91.0,93.0,,"Class: 8B, Subject: Biology, Score: 93%, Attendance: 91%, Overall avg: 93%.",✅ Excellent performance in Biology (93%). Keep up strong work! RECOMMENDATIONS: 1) Introduce advanced challenge problems 2) Expand to Olympic-level content 3) Peer tutoring for struggling classmates 4) Consider subject specialization for competitive exams.
,,,,History,,,,,,,,,,subject_weakness,9A,55.0,78.0,80.0,,"Class: 9A, Subject: History, Score: 55%, Attendance: 78%, Overall avg: 80%, Subject avg: 55%.",Student excels generally (80% overall) but struggles in History (55% average). History seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified History materials 4) Bi-weekly progress tests 5) Peer mentoring in History.
,,,,Chemistry,,,,,,,,,,sudden_drop,10A,37.0,58.0,,,"Class: 10A, Subject: Chemistry, Score: 37% (previous: 72%), Attendance: 58%, Overall avg: 49%, Subject avg: 54%.",Sudden 35% drop in Chemistry (72% to 37%)! This steep decline needs urgent action. STEPS: 1) Diagnose exact weak topic 2) Daily 30-minute focused practice 3) Tutoring support this week 4) Re-test in 5 days to check improvement.
,,,,Chemistry,,,,,,,,,,no_risk,9A,86.0,88.0,90.0,,"Class: 9A, Subject: Chemistry, Score: 86%, Attendance: 88%, Overall avg: 90%.",✅ Chemistry mastery shown (86% with 88% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Chemistry 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,Physics,,,,,,,,,,sudden_drop,9B,54.0,64.0,,,"Class: 9B, Subject: Physics, Score: 54% (previous: 73%), Attendance: 64%, Overall avg: 72%, Subject avg: 63%.",Physics 19% sudden drop with 64% attendance detected. INTERVENTION: 1) If attendance issue: mandatory attendance plan 2) If academic: intensive tutoring + daily practice 3) If personal: counseling referral 4) Reassess after 1 week.
,,,,Physics,,,,,,,,,,no_risk,8A,84.0,93.0,92.0,,"Class: 8A, Subject: Physics, Score: 84%, Attendance: 93%, Overall avg: 92%.",✅ Strong consistent Physics performance (84%). Attendance excellent (93%). Continue current strategy! NEXT: 1) Advanced problem-solving practice 2) Subject competitions participation 3) Higher-order thinking activities 4) Consider this as strong subject for future focus.
,,,,Physics,,,,,,,,,,no_risk,8B,82.0,93.0,87.0,,"Class: 8B, Subject: Physics, Score: 82%, Attendance: 93%, Overall avg: 87%.",✅ Outstanding Physics achievement (82%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Math,,,,,,,,,,sudden_drop,9A,57.0,52.0,,,"Class: 9A, Subject: Math, Score: 57% (previous: 87%), Attendance: 52%, Overall avg: 56%, Subject avg: 72%.",Math performance fell 30 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent Math lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
,,,,Science,,,,,,,,,,sudden_drop,10B,66.0,79.0,,,"Class: 10B, Subject: Science, Score: 66% (previous: 84%), Attendance: 79%, Overall avg: 69%, Subject avg: 75%.",Sudden 18% drop in Science (84% to 66%)! This steep decline needs urgent action. STEPS: 1) Diagnose exact weak topic 2) Daily 30-minute focused practice 3) Tutoring support this week 4) Re-test in 5 days to check improvement.
,,,,English,,,,,,,,,,gradual_decline,9B,,64.0,,,"Class: 9B, Subject: English, Scores history: 90% → 84% → 74%. Attendance: 64%, Overall avg: 70%, Subject avg: 82%.",Gradual English decline detected: 90% → 84% → 74%. Pattern shows consistent downward trend across 3 tests. ACTION: 1) Root cause analysis (fatigue? difficult content?) 2) Stop decline immediately through targeted practice 3) Weekly mini-tests to track recovery 4) Adjust study methods if current approach failing.
,,,,History,,,,,,,,,,subject_weakness,9A,48.0,76.0,80.0,,"Class: 9A, Subject: History, Score: 48%, Attendance: 76%, Overall avg: 80%, Subject avg: 48%.",Student excels generally (80% overall) but struggles in History (48% average). History seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified History materials 4) Bi-weekly progress tests 5) Peer mentoring in History.
,,,,English,,,,,,,,,,sudden_drop,10A,54.0,61.0,,,"Class: 10A, Subject: English, Score: 54% (previous: 82%), Attendance: 61%, Overall avg: 63%, Subject avg: 68%.",English 28% sudden drop with 61% attendance detected. INTERVENTION: 1) If attendance issue: mandatory attendance plan 2) If academic: intensive tutoring + daily practice 3) If personal: counseling referral 4) Reassess after 1 week.
,,,,English,,,,,,,,,,sudden_drop,9B,56.0,62.0,,,"Class: 9B, Subject: English, Score: 56% (previous: 76%), Attendance: 62%, Overall avg: 69%, Subject avg: 66%.",English performance fell 20 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent English lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
,,,,Math,,,,,,,,,,no_risk,10B,93.0,96.0,89.0,,"Class: 10B, Subject: Math, Score: 93%, Attendance: 96%, Overall avg: 89%.",✅ Math mastery shown (93% with 96% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Math 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,Physics,,,,,,,,,,subject_weakness,9B,58.0,92.0,88.0,,"Class: 9B, Subject: Physics, Score: 58%, Attendance: 92%, Overall avg: 88%, Subject avg: 58%.",Strong overall student (88% average) but Physics is weak point (58%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated Physics tutor immediately 2) Daily Physics practice (minimum 45 minutes) 3) Group sessions focusing only on Physics 4) Weekly Physics-only assessments 5) Identify and fix conceptual gaps.
,,,,Math,,,,,,,,,,gradual_decline,8A,,80.0,,,"Class: 8A, Subject: Math, Scores history: 82% → 76% → 67%. Attendance: 80%, Overall avg: 69%, Subject avg: 75%.","Math performance declining (82% → 76% → 67%). With 80% attendance, need to identify barriers. SOLUTION: 1) Review lecture notes missed (if attendance issue) 2) Intensive tutoring 3) Practice past papers 4) Check if personal/health issues affecting study."
,,,,Physics,,,,,,,,,,sudden_drop,10A,64.0,86.0,,,"Class: 10A, Subject: Physics, Score: 64% (previous: 92%), Attendance: 86%, Overall avg: 74%, Subject avg: 78%.",Amit's Physics dropped 28 points suddenly (92% → 64%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Physics,,,,,,,,,,sudden_drop,10B,64.0,52.0,,,"Class: 10B, Subject: Physics, Score: 64% (previous: 86%), Attendance: 52%, Overall avg: 75%, Subject avg: 75%.",Physics performance fell 22 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent Physics lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
,,,,Biology,,,,,,,,,,no_risk,8A,93.0,98.0,91.0,,"Class: 8A, Subject: Biology, Score: 93%, Attendance: 98%, Overall avg: 91%.",✅ Excellent performance in Biology (93%). Keep up strong work! RECOMMENDATIONS: 1) Introduce advanced challenge problems 2) Expand to Olympic-level content 3) Peer tutoring for struggling classmates 4) Consider subject specialization for competitive exams.
,,,,Chemistry,,,,,,,,,,sudden_drop,8B,52.0,92.0,,,"Class: 8B, Subject: Chemistry, Score: 52% (previous: 82%), Attendance: 92%, Overall avg: 56%, Subject avg: 67%.",Chemistry performance fell 30 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent Chemistry lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
,,,,Biology,,,,,,,,,,no_risk,9A,78.0,99.0,87.0,,"Class: 9A, Subject: Biology, Score: 78%, Attendance: 99%, Overall avg: 87%.",✅ Strong consistent Biology performance (78%). Attendance excellent (99%). Continue current strategy! NEXT: 1) Advanced problem-solving practice 2) Subject competitions participation 3) Higher-order thinking activities 4) Consider this as strong subject for future focus.
,,,,History,,,,,,,,,,no_risk,9A,85.0,80.0,87.0,,"Class: 9A, Subject: History, Score: 85%, Attendance: 80%, Overall avg: 87%.",✅ History mastery shown (85% with 80% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in History 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,Math,,,,,,,,,,no_risk,9B,88.0,93.0,95.0,,"Class: 9B, Subject: Math, Score: 88%, Attendance: 93%, Overall avg: 95%.",✅ Math performing at 88% - exactly where we want to see! Strong foundations with 93% attendance. SUGGESTIONS: 1) Introduce enrichment materials 2) Problem-solving challenges 3) Subject clubs participation 4) Consider as career-path indicator.
,,,,Chemistry,,,,,,,,,,gradual_decline,10B,,84.0,,,"Class: 10B, Subject: Chemistry, Scores history: 79% → 72% → 67%. Attendance: 84%, Overall avg: 81%, Subject avg: 72%.",Chemistry scores declining steadily: 79% → 72% → 67%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Social Studies,,,,,,,,,,subject_weakness,8A,50.0,78.0,84.0,,"Class: 8A, Subject: Social Studies, Score: 50%, Attendance: 78%, Overall avg: 84%, Subject avg: 50%.",Strong overall student (84% average) but Social Studies is weak point (50%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated Social Studies tutor immediately 2) Daily Social Studies practice (minimum 45 minutes) 3) Group sessions focusing only on Social Studies 4) Weekly Social Studies-only assessments 5) Identify and fix conceptual gaps.
,,,,Social Studies,,,,,,,,,,sudden_drop,10A,66.0,71.0,,,"Class: 10A, Subject: Social Studies, Score: 66% (previous: 81%), Attendance: 71%, Overall avg: 70%, Subject avg: 73%.",Amit's Social Studies dropped 15 points suddenly (81% → 66%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,History,,,,,,,,,,sudden_drop,10A,66.0,55.0,,,"Class: 10A, Subject: History, Score: 66% (previous: 86%), Attendance: 55%, Overall avg: 70%, Subject avg: 76%.",History performance fell 20 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent History lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
,,,,Science,,,,,,,,,,sudden_drop,9A,55.0,69.0,,,"Class: 9A, Subject: Science, Score: 55% (previous: 83%), Attendance: 69%, Overall avg: 55%, Subject avg: 69%.",Science performance fell 28 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent Science lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
,,,,Science,,,,,,,,,,sudden_drop,10A,66.0,61.0,,,"Class: 10A, Subject: Science, Score: 66% (previous: 91%), Attendance: 61%, Overall avg: 77%, Subject avg: 78%.",Critical alert: Science score plummeted (25% drop). Attendance is 61% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
,,,,Physics,,,,,,,,,,no_risk,8A,76.0,97.0,83.0,,"Class: 8A, Subject: Physics, Score: 76%, Attendance: 97%, Overall avg: 83%.",✅ Physics performing at 76% - exactly where we want to see! Strong foundations with 97% attendance. SUGGESTIONS: 1) Introduce enrichment materials 2) Problem-solving challenges 3) Subject clubs participation 4) Consider as career-path indicator.
,,,,Physics,,,,,,,,,,gradual_decline,8A,,62.0,,,"Class: 8A, Subject: Physics, Scores history: 89% → 82% → 72%. Attendance: 62%, Overall avg: 81%, Subject avg: 81%.",Physics scores declining steadily: 89% → 82% → 72%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Biology,,,,,,,,,,gradual_decline,10A,,61.0,,,"Class: 10A, Subject: Biology, Scores history: 85% → 80% → 75%. Attendance: 61%, Overall avg: 77%, Subject avg: 80%.",Biology scores declining steadily: 85% → 80% → 75%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,English,,,,,,,,,,sudden_drop,8B,57.0,54.0,,,"Class: 8B, Subject: English, Score: 57% (previous: 82%), Attendance: 54%, Overall avg: 62%, Subject avg: 69%.",English 25% sudden drop with 54% attendance detected. INTERVENTION: 1) If attendance issue: mandatory attendance plan 2) If academic: intensive tutoring + daily practice 3) If personal: counseling referral 4) Reassess after 1 week.
,,,,Physics,,,,,,,,,,no_risk,10A,86.0,88.0,88.0,,"Class: 10A, Subject: Physics, Score: 86%, Attendance: 88%, Overall avg: 88%.",✅ Excellent performance in Physics (86%). Keep up strong work! RECOMMENDATIONS: 1) Introduce advanced challenge problems 2) Expand to Olympic-level content 3) Peer tutoring for struggling classmates 4) Consider subject specialization for competitive exams.
,,,,English,,,,,,,,,,subject_weakness,8B,52.0,90.0,84.0,,"Class: 8B, Subject: English, Score: 52%, Attendance: 90%, Overall avg: 84%, Subject avg: 52%.",Clear strength-weakness pattern: 84% average overall but only 52% in English. English is holding back potential. CORRECTIVE MEASURES: 1) Immediate English tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
,,,,Physics,,,,,,,,,,gradual_decline,9B,,87.0,,,"Class: 9B, Subject: Physics, Scores history: 80% → 74% → 64%. Attendance: 87%, Overall avg: 71%, Subject avg: 72%.",Gradual Physics decline detected: 80% → 74% → 64%. Pattern shows consistent downward trend across 3 tests. ACTION: 1) Root cause analysis (fatigue? difficult content?) 2) Stop decline immediately through targeted practice 3) Weekly mini-tests to track recovery 4) Adjust study methods if current approach failing.
,,,,Science,,,,,,,,,,no_risk,8B,85.0,93.0,84.0,,"Class: 8B, Subject: Science, Score: 85%, Attendance: 93%, Overall avg: 84%.",✅ Strong consistent Science performance (85%). Attendance excellent (93%). Continue current strategy! NEXT: 1) Advanced problem-solving practice 2) Subject competitions participation 3) Higher-order thinking activities 4) Consider this as strong subject for future focus.
,,,,Chemistry,,,,,,,,,,sudden_drop,9B,66.0,66.0,,,"Class: 9B, Subject: Chemistry, Score: 66% (previous: 91%), Attendance: 66%, Overall avg: 80%, Subject avg: 78%.",Amit's Chemistry dropped 25 points suddenly (91% → 66%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Math,,,,,,,,,,gradual_decline,8A,,69.0,,,"Class: 8A, Subject: Math, Scores history: 77% → 70% → 64%. Attendance: 69%, Overall avg: 71%, Subject avg: 70%.","Math performance declining (77% → 70% → 64%). With 69% attendance, need to identify barriers. SOLUTION: 1) Review lecture notes missed (if attendance issue) 2) Intensive tutoring 3) Practice past papers 4) Check if personal/health issues affecting study."
,,,,Math,,,,,,,,,,sudden_drop,9B,63.0,91.0,,,"Class: 9B, Subject: Math, Score: 63% (previous: 79%), Attendance: 91%, Overall avg: 78%, Subject avg: 71%.",Sudden 16% drop in Math (79% to 63%)! This steep decline needs urgent action. STEPS: 1) Diagnose exact weak topic 2) Daily 30-minute focused practice 3) Tutoring support this week 4) Re-test in 5 days to check improvement.
,,,,English,,,,,,,,,,no_risk,9B,75.0,95.0,82.0,,"Class: 9B, Subject: English, Score: 75%, Attendance: 95%, Overall avg: 82%.",✅ English mastery shown (75% with 95% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in English 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,English,,,,,,,,,,gradual_decline,8A,,81.0,,,"Class: 8A, Subject: English, Scores history: 89% → 84% → 72%. Attendance: 81%, Overall avg: 72%, Subject avg: 81%.",3-test English decline pattern: 89% → 84% → 72%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Biology,,,,,,,,,,gradual_decline,10B,,88.0,,,"Class: 10B, Subject: Biology, Scores history: 79% → 74% → 64%. Attendance: 88%, Overall avg: 75%, Subject avg: 72%.",Downward trend in Biology: 79% → 74% → 64%. Student losing momentum. CORRECTIVE STEPS: 1) Increase practice frequency 2) Find study partner or tutor 3) Break complex topics into smaller parts 4) Daily revision schedule starting tomorrow 5) Re-motivate with positive reinforcement.
,,,,Biology,,,,,,,,,,sudden_drop,10A,60.0,65.0,,,"Class: 10A, Subject: Biology, Score: 60% (previous: 79%), Attendance: 65%, Overall avg: 61%, Subject avg: 69%.",Biology 19% sudden drop with 65% attendance detected. INTERVENTION: 1) If attendance issue: mandatory attendance plan 2) If academic: intensive tutoring + daily practice 3) If personal: counseling referral 4) Reassess after 1 week.
,,,,Biology,,,,,,,,,,gradual_decline,9B,,85.0,,,"Class: 9B, Subject: Biology, Scores history: 79% → 73% → 64%. Attendance: 85%, Overall avg: 58%, Subject avg: 72%.",Downward trend in Biology: 79% → 73% → 64%. Student losing momentum. CORRECTIVE STEPS: 1) Increase practice frequency 2) Find study partner or tutor 3) Break complex topics into smaller parts 4) Daily revision schedule starting tomorrow 5) Re-motivate with positive reinforcement.
,,,,Science,,,,,,,,,,subject_weakness,9A,46.0,88.0,79.0,,"Class: 9A, Subject: Science, Score: 46%, Attendance: 88%, Overall avg: 79%, Subject avg: 46%.",Clear strength-weakness pattern: 79% average overall but only 46% in Science. Science is holding back potential. CORRECTIVE MEASURES: 1) Immediate Science tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
,,,,Science,,,,,,,,,,gradual_decline,8A,,90.0,,,"Class: 8A, Subject: Science, Scores history: 83% → 78% → 67%. Attendance: 90%, Overall avg: 65%, Subject avg: 76%.","Science performance declining (83% → 78% → 67%). With 90% attendance, need to identify barriers. SOLUTION: 1) Review lecture notes missed (if attendance issue) 2) Intensive tutoring 3) Practice past papers 4) Check if personal/health issues affecting study."
,,,,History,,,,,,,,,,sudden_drop,10B,66.0,90.0,,,"Class: 10B, Subject: History, Score: 66% (previous: 91%), Attendance: 90%, Overall avg: 83%, Subject avg: 78%.",History performance fell 25 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent History lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
,,,,Chemistry,,,,,,,,,,sudden_drop,8A,55.0,61.0,,,"Class: 8A, Subject: Chemistry, Score: 55% (previous: 71%), Attendance: 61%, Overall avg: 57%, Subject avg: 63%.",Chemistry performance fell 16 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent Chemistry lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
,,,,History,,,,,,,,,,sudden_drop,9A,63.0,72.0,,,"Class: 9A, Subject: History, Score: 63% (previous: 81%), Attendance: 72%, Overall avg: 66%, Subject avg: 72%.",Amit's History dropped 18 points suddenly (81% → 63%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Math,,,,,,,,,,subject_weakness,9B,57.0,92.0,85.0,,"Class: 9B, Subject: Math, Score: 57%, Attendance: 92%, Overall avg: 85%, Subject avg: 57%.",Math underperformance (57%) despite strong overall 85% average indicates specific subject difficulty. ACTION: 1) Hire specialized Math tutor 2) Practice 30+ problems weekly in weak topics 3) Concept map creation for each Math chapter 4) Monitor confidence levels 5) Adjust learning method if needed.
,,,,Chemistry,,,,,,,,,,subject_weakness,8B,54.0,82.0,78.0,,"Class: 8B, Subject: Chemistry, Score: 54%, Attendance: 82%, Overall avg: 78%, Subject avg: 54%.",Clear strength-weakness pattern: 78% average overall but only 54% in Chemistry. Chemistry is holding back potential. CORRECTIVE MEASURES: 1) Immediate Chemistry tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
